returnCode="0" returnMessage="Query Succeed" rowCount="9288" colCount="79" requestParams="admincodes=360100&datacode=SURF_CHN_MUL_MON&timerange=[19610101000000,20191231010000]&elements=Station_Name,Station_Id_d,Lat,Lon,Alti,Year,Mon,TEM_Avg,TEM_Max_Avg,TEM_Min_Avg,TEM_Max,TEM_Max_Days,TEM_Min,TEM_Min_Days,TEM_Avg_Dev,TEM_Max_Dev,TEM_Max_A30C_Days,TEM_Max_A35C_Days,TEM_Max_A40C_Days,TEM_Min_B2C_Days,TEM_Min_B0C_Days,TEM_Min_Bn2C_Days,WIN_S_2mi_Avg,WIN_S_Max,Days_WIN_S_Max,WIN_S_A5ms_Days,WIN_NNE_Freq,WIN_NE_Freq,WIN_ENE_Freq,WIN_E_Freq,WIN_ESE_Freq,WIN_SE_Freq,WIN_SSE_Freq,WIN_S_Freq,WIN_SSW_Freq,WIN_SW_Freq,WIN_WSW_Freq,WIN_W_Freq,WIN_WNW_Freq,WIN_NW_Freq,WIN_NNW_Freq,WIN_N_Freq,WIN_C_Freq,WIN_D_Max_C,WIN_D_Max_Freq,WIN_D_SMax_C,WIN_D_SMax_Freq,WIN_S_Avg_NNE,WIN_S_Avg_NE,WIN_S_Avg_ENE,WIN_S_Avg_E,WIN_S_Avg_ESE,WIN_S_Avg_SE,WIN_S_Avg_SSE,WIN_S_Avg_S,WIN_S_Avg_SSW,WIN_S_Avg_SW,WIN_S_Avg_WSW,WIN_S_Avg__W,WIN_S_Avg_WNW,WIN_S_Avg_NW,WIN_S_Avg_NNW,WIN_S_Avg__N,WIN_S_Max_NNE,WIN_S_Max_NE,WIN_S_Max_ENE,WIN_S_Max_E,WIN_S_Max_ESE,WIN_S_Max_SE,WIN_S_Max_SSE,WIN_S_Max_S,WIN_S_Max_SSW,WIN_S_Max_SW,WIN_S_Max_WSW,WIN_S_Max_W,WIN_S_Max_WNW,WIN_S_Max_NW,WIN_S_Max_NNW,WIN_S_Max_N" requestTime="2020-08-24 08:29:02" responseTime="2020-08-24 08:29:57" takeTime="55.067"

Station_Name Station_Id_d Lat Lon Alti Year Mon TEM_Avg TEM_Max_Avg TEM_Min_Avg TEM_Max TEM_Max_Days TEM_Min TEM_Min_Days TEM_Avg_Dev TEM_Max_Dev TEM_Max_A30C_Days TEM_Max_A35C_Days TEM_Max_A40C_Days TEM_Min_B2C_Days TEM_Min_B0C_Days TEM_Min_Bn2C_Days WIN_S_2mi_Avg WIN_S_Max Days_WIN_S_Max WIN_S_A5ms_Days WIN_NNE_Freq WIN_NE_Freq WIN_ENE_Freq WIN_E_Freq WIN_ESE_Freq WIN_SE_Freq WIN_SSE_Freq WIN_S_Freq WIN_SSW_Freq WIN_SW_Freq WIN_WSW_Freq WIN_W_Freq WIN_WNW_Freq WIN_NW_Freq WIN_NNW_Freq WIN_N_Freq WIN_C_Freq WIN_D_Max_C WIN_D_Max_Freq WIN_D_SMax_C WIN_D_SMax_Freq WIN_S_Avg_NNE WIN_S_Avg_NE WIN_S_Avg_ENE WIN_S_Avg_E WIN_S_Avg_ESE WIN_S_Avg_SE WIN_S_Avg_SSE WIN_S_Avg_S WIN_S_Avg_SSW WIN_S_Avg_SW WIN_S_Avg_WSW WIN_S_Avg__W WIN_S_Avg_WNW WIN_S_Avg_NW WIN_S_Avg_NNW WIN_S_Avg__N WIN_S_Max_NNE WIN_S_Max_NE WIN_S_Max_ENE WIN_S_Max_E WIN_S_Max_ESE WIN_S_Max_SE WIN_S_Max_SSE WIN_S_Max_S WIN_S_Max_SSW WIN_S_Max_SW WIN_S_Max_WSW WIN_S_Max_W WIN_S_Max_WNW WIN_S_Max_NW WIN_S_Max_NNW WIN_S_Max_N

新建 58693 28.5667 115.7833 27.9 1961 1 4.9 9.5 1.5 17.3 999999 -3.3 999999 8 15.3 0 0 0 15 12 4 3.4 999999 999999 999999 33 16 999998 4 2 2 1 999998 1 4 3 999998 1 3 3 16 9 999002 33 999998 999998 4.9 3.2 0 2.3 1.5 1.5 3 0 2 1 2.3 0 1 1 1.3 5 14 7 0 3 2 2 3 0 2 1 3 0 1 1 2 17

安义 58602 28.8333 115.5333 34.5 1961 1 4.4 9.6 0.3 18.4 999999 -5.6 999999 9.3 18.5 0 0 0 18 16 9 2.7 999999 999999 999999 6 15 11 9 1 2 1 5 999998 2 999998 999998 1 1 3 19 23 999017 23 999001 19 4.8 4.7 3.4 3.6 4 1.5 1 1.6 0 1.5 0 0 3 3 1.7 3.3 8 7 6 5 4 2 1 4 0 2 0 0 3 3 2 8

南昌 58606 28.6667 115.9667 46.7 1961 1 4.9 9 1.9 18 999999 -3.1 999999 7.1 14.5 0 0 0 15 10 3 2.6 14 999999 16 20 8 999998 1 999998 999998 999998 1 999998 999998 1 999998 999998 999998 7 19 43 999017 43 999002 20 4.6 1.8 0 2 0 0 0 1 0 0 3 0 0 0 5.6 5.2 13 4 0 2 0 0 0 1 0 0 3 0 0 0 8 12

南昌县 58607 28.5167 115.95 25 1961 1 4.5 9.4 0.7 17.6 999999 -4.7 999999 8.7 17.2 0 0 0 19 12 6 3.2 999999 999999 999999 10 1 3 999998 999998 1 999998 999998 1 1 999998 1 2 3 2 51 24 999001 51 999998 999998 3.6 2 1.3 0 0 1 0 0 3 2 0 1 1 2 2 5.1 8 2 2 0 0 1 0 0 3 2 0 1 1 3 2 12

进贤 58614 28.3833 116.2333 46.2 1961 1 5 9.2 1.6 18.9 999999 -4.2 999999 7.6 17.3 0 0 0 15 10 6 3.1 999999 999999 999999 6 9 1 3 999998 4 4 1 999998 1 999998 2 1 1 17 35 13 999001 35 999998 999998 2.7 2 3 1.3 0 2 2.3 1 0 1 0 2.5 2 2 4.3 4.5 5 3 3 2 0 3 4 1 0 1 0 4 2 2 10 10

新建 58693 28.5667 115.7833 27.9 1961 2 6.9 10.2 4.4 17.6 999999 -2.7 999999 5.8 12.3 0 0 0 7 4 1 3 999999 999999 999999 29 18 4 5 5 1 999998 1 5 4 999998 999998 2 1 1 14 11 999002 29 999998 999998 4.3 3.8 3.3 2.8 2.8 2 0 1 2 2 0 0 2.5 2 3 2.8 12 9 4 4 4 2 0 1 3 2 0 0 4 2 3 6

安义 58602 28.8333 115.5333 34.5 1961 2 6.6 11 2.6 18.3 999999 -5.2 999999 8.4 16.9 0 0 0 11 7 3 2.2 999999 999999 999999 6 13 4 21 2 1 999998 6 1 6 2 2 999998 999998 999998 14 20 999005 21 999998 999998 2.2 3.7 3.7 2.8 4 2 0 2.6 1 2 2 2 0 0 0 2.2 3 8 6 5 6 2 0 4 1 3 3 2 0 0 0 4

南昌 58606 28.6667 115.9667 46.7 1961 2 6.7 9.8 4.2 18 999999 -2.2 999999 5.6 11.4 0 0 0 7 4 2 1.8 11.7 999999 13 13 6 2 3 999998 1 1 999998 1 999998 999998 999998 999998 1 12 14 47 999017 47 999001 14 2.9 2.9 2.5 1 0 1 1 0 1 0 0 0 0 4 4.6 4.3 8 5 3 1 0 1 1 0 1 0 0 0 0 4 7 9

南昌县 58607 28.5167 115.95 25 1961 2 6.6 10.5 3.7 18.7 999999 -3.3 999999 6.8 15.5 0 0 0 7 7 3 2.6 999999 999999 999999 14 10 999998 4 999998 999998 4 1 1 1 999998 1 1 4 4 36 20 999001 36 999998 999998 2.6 2.6 0 2 0 0 1 1 3 1 0 1 5 1.3 2 4.6 5 5 0 3 0 0 1 1 3 1 0 1 5 2 3 14

进贤 58614 28.3833 116.2333 46.2 1961 2 6.8 10.4 4 21.7 999999 -2.5 999999 6.4 16 0 0 0 7 6 3 2.7 999999 999999 999999 17 15 6 1 1 6 1 1 1 1 999998 2 2 4 8 21 11 999001 21 999998 999998 3.6 3.2 2.4 3 2 2.8 2 2 2 2 0 1 2 1 3 3.9 6 7 3 3 2 5 2 2 2 2 0 1 2 1 5 7

新建 58693 28.7333 115.8833 27.9 1961 3 11.2 14.8 8.6 25 999999 4.8 999999 6.2 12.5 0 0 0 0 0 0 4.2 999999 999999 999999 22 13 6 999998 2 1 1 2 1 1 999998 1 1 999998 4 38 6 999001 38 999998 999998 4.6 3.2 2.8 0 2 4 3 2 3 6 0 1 3 0 3.8 5.7 10 6 5 0 3 4 3 3 3 6 0 1 3 0 6 10

安义 58602 28.8333 115.5333 34.5 1961 3 11 14.8 7.5 23.5 999999 4.1 999999 7.3 15.7 0 0 0 0 0 0 2.6 999999 999999 999999 10 33 12 14 999998 999998 999998 2 999998 6 1 999998 999998 999998 999998 3 18 999003 33 999998 999998 3.3 3.4 3.8 3.5 0 0 0 1 0 2.5 2 0 0 0 0 1.7 5 7 7 5 0 0 0 1 0 5 2 0 0 0 0 2

南昌 58606 28.6667 115.9667 46.7 1961 3 11.1 14.3 8.8 26.3 999999 5 999999 5.5 11.8 0 0 0 0 0 0 3 13.5 999999 18 31 5 2 1 1 999998 999998 1 999998 2 2 999998 999998 999998 6 21 29 999002 31 999998 999998 4.9 2.3 2 2 1 0 0 4 0 1 1 0 0 0 3.5 4.6 10 4 2 2 1 0 0 4 0 1 1 0 0 0 5 10

南昌县 58607 28.5167 115.95 25 1961 3 11.1 14.5 8.2 25.5 999999 3.4 999999 6.3 12.8 0 0 0 0 0 0 4 999999 999999 999999 13 8 1 1 999998 1 999998 1 3 999998 1 999998 999998 999998 1 59 11 999001 59 999998 999998 4.1 2.9 2 2 0 3 0 2 2.7 0 3 0 0 0 3 5.1 10 5 2 2 0 3 0 2 4 0 3 0 0 0 3 12

